Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,2.050,nan,nan,23.000,9.980,0.000,100.000,0.000,482.000,44.000,45.781,96.750,32.000,700.140,0.000
0.5,0.000,0.000,2.080,nan,nan,23.300,10.000,0.000,100.000,0.000,522.000,44.000,45.781,96.750,32.000,697.680,0.000
0.5,0.000,0.000,2.125,nan,nan,23.650,10.000,0.000,100.000,0.000,528.000,44.000,45.875,96.750,32.000,699.000,0.000
0.5,0.000,0.000,2.065,nan,nan,23.000,9.927,0.000,100.000,0.000,460.000,43.000,45.875,96.750,32.000,702.493,0.000
0.5,0.000,0.000,2.030,nan,nan,22.850,9.760,0.000,100.000,0.000,502.000,44.000,45.875,96.862,32.000,700.540,0.000
0.5,0.000,0.000,2.120,nan,nan,23.650,10.000,0.000,100.000,0.000,522.000,44.000,46.094,96.750,32.000,696.555,0.000
0.5,0.000,0.000,2.170,nan,nan,24.000,10.000,0.000,100.000,0.000,524.000,44.000,46.094,96.862,31.000,697.502,0.000
0.5,0.000,0.000,2.185,nan,nan,24.000,10.000,0.000,100.000,0.000,488.000,44.000,46.094,96.975,31.000,699.800,0.000
0.5,0.000,0.000,2.120,nan,nan,23.550,10.000,0.000,100.000,0.000,476.000,43.000,46.094,97.312,31.000,702.540,0.000
0.5,0.000,0.000,2.100,nan,nan,23.250,10.000,0.000,100.000,0.000,528.000,44.000,46.188,97.763,31.000,700.420,0.000
0.5,0.000,0.000,2.195,nan,nan,24.500,10.060,0.000,100.000,0.000,530.000,44.000,46.188,97.763,31.000,696.060,0.000
0.5,0.000,0.000,2.220,nan,nan,24.750,10.120,0.000,100.000,0.000,482.000,44.000,46.188,98.438,31.000,699.280,0.000
0.5,0.000,0.000,2.180,nan,nan,24.050,10.000,0.000,100.000,0.000,450.000,44.000,46.188,99.000,31.000,700.940,0.000
0.5,0.000,0.000,2.225,nan,nan,24.750,10.180,0.000,100.000,0.000,498.000,44.000,46.281,99.000,31.000,698.320,0.000
0.5,0.000,0.000,2.205,nan,nan,24.300,10.020,0.000,100.000,0.000,516.000,44.000,46.281,99.000,31.000,701.080,0.000
0.5,0.000,0.000,2.165,nan,nan,24.000,10.000,0.000,100.000,0.000,464.000,44.000,46.281,99.000,31.000,701.260,0.000
0.5,0.000,0.000,2.160,nan,nan,24.000,10.000,0.000,100.000,0.000,486.000,44.000,46.281,99.000,31.000,700.380,0.000
0.5,0.000,0.000,2.205,nan,nan,24.450,10.000,0.000,100.000,0.000,522.000,44.000,46.281,99.000,31.000,698.440,0.000
0.5,0.000,0.000,2.195,nan,nan,24.200,10.000,0.000,100.000,0.000,516.000,44.000,46.375,99.000,31.000,700.100,0.000
0.5,0.000,0.000,2.180,nan,nan,24.050,10.000,0.000,100.000,0.000,444.000,44.000,46.375,99.109,31.000,700.260,0.000
0.5,0.000,0.000,2.210,nan,nan,24.650,10.060,0.000,100.000,0.000,468.000,44.000,46.375,99.109,31.000,698.900,0.000
0.5,0.000,0.000,2.220,nan,nan,24.750,10.100,0.000,100.000,0.000,516.000,44.000,46.375,99.109,31.000,699.820,0.000
0.5,0.000,0.000,2.200,nan,nan,24.300,10.000,0.000,100.000,0.000,498.000,44.000,46.500,99.219,31.000,700.820,0.000
0.5,0.000,0.000,2.210,nan,nan,24.550,10.000,0.000,100.000,0.000,448.000,44.000,46.500,99.547,31.000,699.620,0.000
0.5,0.000,0.000,2.200,nan,nan,24.300,10.000,0.000,100.000,0.000,494.000,44.000,46.500,99.656,31.000,700.120,0.000
0.5,0.000,0.000,2.220,nan,nan,24.850,10.000,0.000,100.000,0.000,520.000,44.000,46.500,99.766,31.000,699.480,0.000
0.5,0.000,0.000,2.200,nan,nan,24.400,10.020,0.000,100.000,0.000,470.000,44.000,46.500,100.531,31.000,701.280,0.000
0.5,0.000,0.000,2.150,nan,nan,24.000,10.000,0.000,100.000,0.000,456.000,44.000,46.688,100.641,31.000,701.760,0.000
0.5,0.000,0.000,2.185,nan,nan,24.150,10.000,0.000,100.000,0.000,506.000,44.000,46.688,100.203,31.000,698.380,0.000
0.5,0.000,0.000,2.185,nan,nan,24.000,10.000,0.000,100.000,0.000,520.000,44.000,46.688,101.078,31.000,700.280,0.000
0.5,0.000,0.000,2.190,nan,nan,24.050,10.000,0.000,100.000,0.000,462.000,44.000,46.688,100.969,31.000,699.800,0.000
0.5,0.000,0.000,2.195,nan,nan,24.250,10.000,0.000,100.000,0.000,458.000,45.000,46.781,101.078,31.000,699.480,0.000
0.5,0.000,0.000,2.200,nan,nan,24.200,10.000,0.000,100.000,0.000,508.000,44.000,46.781,101.188,31.000,699.820,0.000
0.5,0.000,0.000,2.200,nan,nan,24.250,10.000,0.000,100.000,0.000,518.000,44.000,46.781,101.188,31.000,700.200,0.000
0.5,0.000,0.000,2.195,nan,nan,24.283,10.000,0.000,100.000,0.000,448.000,44.000,46.781,101.188,31.000,699.960,0.000
0.5,0.000,0.000,2.210,nan,nan,24.717,10.000,0.000,100.000,0.000,462.000,44.000,46.781,101.188,31.000,699.140,0.000
0.5,0.000,0.000,2.200,nan,nan,24.400,10.000,0.000,100.000,0.000,510.000,45.000,46.875,101.188,31.000,700.480,0.000
0.5,0.000,0.000,2.180,nan,nan,24.000,10.000,0.000,100.000,0.000,494.000,44.000,46.875,101.188,31.000,700.600,0.000
0.5,0.000,0.000,2.200,nan,nan,24.150,10.000,0.000,100.000,0.000,440.000,44.000,46.875,101.078,31.000,699.840,0.000
0.5,0.000,0.000,2.210,nan,nan,24.600,10.000,0.000,100.000,0.000,478.000,44.000,46.875,101.188,31.000,699.140,0.000
0.5,0.000,0.000,2.215,nan,nan,24.700,10.100,0.000,100.000,0.000,520.000,45.000,46.875,101.188,31.000,699.580,0.000
0.5,0.000,0.000,2.220,nan,nan,24.750,10.040,0.000,100.000,0.000,504.000,45.000,47.000,101.188,31.000,699.880,0.000
0.5,0.000,0.000,2.210,nan,nan,24.850,10.080,0.000,100.000,0.000,438.000,45.000,47.000,101.188,31.000,699.980,0.000
0.5,0.000,0.000,2.195,nan,nan,24.250,10.000,0.000,100.000,0.000,482.000,45.000,47.000,101.188,31.000,700.980,0.000
0.5,0.000,0.000,2.205,nan,nan,24.250,10.000,0.000,100.000,0.000,510.000,45.000,47.000,101.188,31.000,700.040,0.000
0.5,0.000,0.000,2.195,nan,nan,24.250,10.000,0.000,100.000,0.000,474.000,44.000,47.000,101.188,31.000,700.000,0.000
0.5,0.000,0.000,2.195,nan,nan,24.150,10.000,0.000,100.000,0.000,462.000,44.000,47.094,101.188,31.000,700.360,0.000
0.5,0.000,0.000,2.200,nan,nan,24.300,10.000,0.000,100.000,0.000,512.000,45.000,47.094,101.188,31.000,699.740,0.000
0.5,0.000,0.000,2.205,nan,nan,24.400,10.000,0.000,100.000,0.000,512.000,45.000,47.094,101.188,31.000,699.620,0.000
0.5,0.000,0.000,2.205,nan,nan,24.600,10.000,0.000,100.000,0.000,444.000,44.000,47.094,101.188,31.000,699.860,0.000
0.5,0.000,0.000,2.080,nan,nan,22.000,9.600,0.000,100.000,0.000,482.000,45.000,47.188,101.300,31.000,707.480,0.000
0.5,0.000,0.000,1.825,nan,nan,19.300,8.420,0.000,100.000,0.000,474.000,44.000,47.188,101.188,31.000,710.520,0.000
0.5,0.000,0.000,1.820,nan,nan,19.600,8.700,0.000,100.000,0.000,504.000,45.000,47.188,101.300,31.000,699.540,0.000
0.5,0.000,0.000,1.970,nan,nan,21.100,9.280,0.000,100.000,0.000,512.000,45.000,47.188,101.188,31.000,693.900,0.000
0.5,0.000,0.000,2.270,nan,nan,24.900,10.980,0.020,100.000,0.000,458.000,45.000,47.188,101.188,31.000,683.180,0.000
0.5,0.000,0.005,3.195,nan,nan,36.450,16.260,0.000,100.000,0.000,494.000,45.000,47.500,101.188,31.000,651.100,0.191
0.5,0.000,0.000,4.850,nan,nan,52.650,23.820,0.000,100.000,0.000,496.000,45.000,47.375,102.425,31.000,644.660,1.964
0.5,0.000,0.000,4.695,nan,nan,41.400,19.080,0.560,100.000,0.000,510.000,45.000,47.375,103.766,31.000,787.420,3.326
0.5,0.000,0.000,4.115,nan,nan,35.350,16.080,5.900,100.000,0.000,494.000,45.000,47.375,105.737,31.000,880.440,3.796
0.5,0.000,0.000,4.615,nan,nan,36.600,17.100,12.760,100.000,0.000,530.000,45.000,47.375,107.763,31.000,961.960,4.167
0.5,0.000,0.000,4.900,nan,nan,36.650,17.160,13.720,100.000,0.000,514.000,44.000,47.500,110.013,31.000,1032.560,4.472
0.5,0.000,0.005,5.130,nan,nan,35.550,16.960,14.000,100.000,0.000,546.000,45.000,47.500,112.322,31.000,1095.120,4.742
0.5,0.000,0.000,4.980,nan,nan,33.800,16.000,14.000,100.000,0.000,536.000,46.000,47.500,114.778,31.000,1141.620,4.987
0.5,0.000,0.000,4.875,nan,nan,32.650,16.000,14.000,102.000,0.000,540.000,44.000,48.375,117.312,31.000,1173.680,5.138
0.5,0.000,0.000,4.765,nan,nan,31.800,15.300,14.000,102.000,0.000,540.000,45.000,47.594,119.328,31.000,1198.300,5.219
0.5,0.000,0.005,4.750,nan,nan,31.200,15.000,14.000,102.000,0.000,546.000,45.000,47.594,121.412,31.000,1210.500,5.266
0.5,0.000,0.000,5.155,nan,nan,33.150,16.320,15.440,102.000,0.000,564.000,44.000,47.594,123.438,31.000,1223.040,5.348
0.5,0.000,0.000,6.390,nan,nan,37.600,19.000,19.180,102.000,0.000,578.000,43.000,47.688,124.859,31.000,1253.620,5.463
0.5,0.000,0.005,6.365,nan,nan,37.000,18.620,19.200,102.000,2.000,560.000,44.000,47.688,127.987,31.000,1300.180,5.666
0.5,0.000,0.000,6.215,nan,nan,36.200,18.000,19.200,104.000,2.000,536.000,45.000,47.688,130.453,31.000,1338.320,5.836
0.5,0.000,0.000,5.935,nan,nan,35.950,17.020,19.200,104.000,2.000,548.000,44.000,47.781,132.878,31.000,1388.540,6.063
0.5,0.000,0.005,5.750,nan,nan,34.800,16.440,19.200,104.000,2.000,572.000,44.000,47.781,135.219,31.000,1419.520,6.183
0.5,0.000,0.000,5.605,nan,nan,33.700,16.000,19.200,104.000,2.000,592.000,45.000,47.875,137.425,31.000,1443.060,6.301
0.5,0.000,0.000,5.485,nan,nan,32.850,15.720,19.200,104.000,2.000,560.000,43.000,47.875,139.000,31.000,1462.780,6.394
0.5,0.000,0.005,5.395,nan,nan,32.000,15.000,19.200,104.000,2.000,566.000,45.000,49.781,140.859,31.000,1478.280,6.451
0.5,0.000,0.000,5.320,nan,nan,32.000,15.000,19.200,104.000,2.000,616.000,44.000,48.094,141.637,31.000,1484.140,6.492
0.5,0.000,0.000,4.820,nan,nan,29.150,14.000,17.420,104.000,2.000,566.000,44.000,48.094,143.438,31.000,1467.420,6.429
0.5,0.000,0.005,4.265,nan,nan,27.250,12.820,15.200,104.000,2.000,566.000,45.000,48.188,143.438,31.000,1419.440,6.224
0.5,0.000,0.000,3.650,nan,nan,23.400,11.320,12.880,104.000,2.000,562.000,46.000,48.188,143.547,31.000,1357.060,5.953
0.5,0.000,0.000,2.495,nan,nan,16.450,8.380,9.160,102.000,2.000,562.000,45.000,48.188,143.438,31.000,1271.400,5.593
0.5,0.000,0.005,1.880,nan,nan,15.050,7.250,7.200,102.000,0.000,532.000,45.000,48.281,142.650,31.000,1159.692,5.109
0.5,0.000,0.000,1.030,nan,nan,8.150,3.975,3.460,102.000,0.000,506.000,46.000,48.281,140.969,31.000,1018.695,4.558
0.5,0.000,0.000,0.700,nan,nan,7.950,3.550,0.000,102.000,0.000,500.000,48.000,48.375,138.881,31.000,749.650,3.824
0.5,0.000,0.000,1.490,nan,nan,15.700,6.940,0.000,100.000,0.000,486.000,48.000,48.375,135.766,31.000,725.980,3.024
0.5,0.000,0.005,1.395,nan,nan,13.850,6.180,0.000,100.000,0.000,500.000,48.000,48.500,134.225,31.000,754.020,2.160
0.5,0.000,0.000,1.470,nan,nan,14.800,6.400,0.460,100.000,0.000,434.000,47.000,48.500,132.094,31.000,748.440,1.074
0.5,0.000,0.000,2.805,nan,nan,34.000,15.380,0.000,100.000,0.000,390.000,45.000,48.500,130.453,31.000,633.960,0.574
0.5,0.000,0.000,6.075,nan,nan,71.300,32.580,0.000,100.000,0.000,418.000,42.000,48.688,130.125,31.000,567.220,2.099
0.5,0.000,0.000,11.270,nan,nan,93.000,42.960,9.980,100.000,0.000,514.000,44.000,48.688,131.000,31.000,747.200,5.253
0.5,0.000,0.000,14.665,nan,nan,79.150,39.140,34.000,104.000,2.000,552.000,43.000,48.688,135.881,31.000,1093.160,7.920
0.5,0.000,0.005,14.785,nan,nan,66.800,34.360,33.680,108.000,6.000,560.000,44.000,48.781,144.088,31.000,1339.100,9.814
0.5,0.000,0.000,2.525,nan,nan,11.850,5.620,6.720,108.000,6.000,558.000,46.000,48.781,151.400,31.000,1300.820,10.210
0.5,0.000,0.005,0.065,nan,nan,0.900,0.400,0.000,104.000,4.000,504.000,47.000,48.875,152.000,31.000,903.840,9.867
0.5,0.000,0.000,0.560,nan,nan,5.100,2.140,0.060,102.000,0.000,494.000,46.000,48.875,148.438,31.000,757.860,9.055
0.5,0.000,0.005,0.900,nan,nan,10.050,4.420,0.000,100.000,0.000,498.000,43.000,48.875,144.750,31.000,723.460,8.191
0.5,0.000,0.000,2.295,nan,nan,25.450,11.420,0.000,100.000,0.000,460.000,42.000,49.000,141.637,31.000,688.220,7.767
0.5,0.000,0.005,3.815,nan,nan,40.950,18.340,0.000,100.000,0.000,438.000,40.000,49.000,139.875,31.000,681.480,7.679
0.5,0.000,0.000,4.885,nan,nan,49.200,22.320,0.000,100.000,0.000,472.000,40.000,49.281,139.000,31.000,700.760,7.902
0.5,0.000,0.005,5.435,nan,nan,51.100,23.460,0.000,100.000,0.000,492.000,43.000,49.094,139.219,31.000,730.400,8.232
0.5,0.000,0.000,5.360,nan,nan,47.950,22.360,0.260,100.000,0.000,498.000,43.000,49.094,140.422,31.000,767.560,8.662
0.5,0.000,0.005,5.560,nan,nan,48.150,22.340,3.460,100.000,0.000,532.000,43.000,49.188,141.188,31.000,804.580,9.066
0.5,0.000,0.000,7.180,nan,nan,55.250,25.500,10.020,102.000,0.000,516.000,43.000,49.188,141.637,31.000,868.820,9.782
0.5,0.000,0.005,5.820,nan,nan,44.400,20.580,10.400,102.000,0.000,510.000,46.000,49.188,143.438,31.000,928.000,10.464
0.5,0.000,0.000,4.105,nan,nan,32.650,15.240,10.380,100.000,0.000,530.000,47.000,49.094,145.078,31.000,981.500,11.073
0.5,0.000,0.005,2.115,nan,nan,19.500,8.880,7.340,100.000,0.000,510.000,47.000,49.375,145.625,31.000,1004.460,11.360
0.5,0.000,0.000,1.825,nan,nan,17.550,8.240,6.940,100.000,0.000,534.000,46.000,49.375,144.312,31.000,1023.100,11.537
0.5,0.000,0.005,4.365,nan,nan,33.050,15.860,13.120,100.000,0.000,488.000,46.000,49.375,143.438,31.000,1057.380,11.919
0.5,0.000,0.005,6.555,nan,nan,41.900,20.520,19.180,102.000,0.000,540.000,47.000,49.500,143.438,31.000,1103.320,12.440
0.5,0.000,0.000,6.720,nan,nan,41.300,20.400,20.000,102.000,0.000,538.000,46.000,49.500,145.078,31.000,1145.340,12.929
0.5,0.000,0.005,7.170,nan,nan,43.400,21.540,21.820,102.000,2.000,520.000,47.000,49.594,146.750,31.000,1168.880,13.183
0.5,0.000,0.005,11.150,nan,nan,59.100,30.100,29.840,104.000,2.000,544.000,46.000,49.594,149.225,31.000,1191.260,13.442
0.5,0.000,0.005,13.995,nan,nan,67.150,35.400,33.700,108.000,6.000,554.000,46.000,49.594,153.750,31.000,1196.040,13.511
0.5,0.000,0.000,12.475,nan,nan,62.400,32.680,31.480,110.000,8.000,532.000,46.000,49.688,160.000,31.000,1135.880,12.845
