Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,1.670,nan,nan,20.450,26.620,0.000,90.000,0.000,574.000,50.000,49.094,136.312,38.000,785.840,0.678
0.5,0.000,0.000,1.355,nan,nan,17.550,23.940,0.000,90.000,0.000,516.000,50.000,49.094,135.328,38.000,716.760,0.367
0.5,0.000,0.000,3.005,nan,nan,37.900,53.260,0.000,90.000,0.000,476.000,50.000,49.094,134.450,38.000,622.580,1.029
0.5,0.000,0.000,2.355,nan,nan,27.350,37.160,0.000,90.000,0.000,548.000,50.000,49.188,133.887,38.000,774.840,2.419
0.5,0.000,0.000,1.675,nan,nan,18.050,26.500,0.000,90.000,0.000,574.000,50.000,49.188,133.775,38.000,782.300,2.644
0.5,0.000,0.000,1.905,nan,nan,21.350,30.780,0.000,90.000,0.000,588.000,50.000,49.188,132.312,38.000,744.320,1.536
0.5,0.000,0.005,1.865,nan,nan,22.550,30.340,0.000,90.000,0.000,592.000,50.000,49.188,132.094,38.000,751.080,1.466
0.5,0.000,0.000,1.705,nan,nan,21.000,28.320,0.000,90.000,0.000,576.000,50.000,49.188,131.438,38.000,747.400,0.726
0.5,0.000,0.000,1.605,nan,nan,20.200,28.080,0.000,90.000,0.000,510.000,50.000,49.375,130.562,38.000,696.420,0.430
0.5,0.000,0.000,1.925,nan,nan,24.000,33.500,0.000,90.000,0.000,498.000,50.000,49.375,129.900,38.000,687.300,0.183
0.5,0.000,0.000,1.755,nan,nan,21.550,30.100,0.000,90.000,0.000,516.000,50.000,49.375,129.000,38.000,707.540,0.000
0.5,0.000,0.000,1.815,nan,nan,22.450,31.460,0.000,90.000,0.000,548.000,50.000,49.375,128.550,38.000,695.780,0.000
0.5,0.000,0.000,1.935,nan,nan,23.850,33.100,0.000,90.000,0.000,538.000,50.000,49.375,127.875,38.000,694.880,0.000
0.5,0.000,0.000,1.975,nan,nan,23.900,33.460,0.000,90.000,0.000,528.000,50.000,49.375,127.875,38.000,697.500,0.000
0.5,0.000,0.000,2.475,nan,nan,30.150,42.320,0.000,90.000,0.000,504.000,50.000,49.500,127.875,38.000,668.700,0.000
0.5,0.000,0.000,2.855,nan,nan,34.050,47.480,0.000,90.000,0.000,534.000,50.000,49.500,127.875,38.000,684.040,0.191
0.5,0.000,0.000,2.425,nan,nan,28.600,39.260,0.000,90.000,0.000,522.000,50.000,49.500,127.875,38.000,721.440,0.590
0.5,0.000,0.000,2.325,nan,nan,27.500,38.380,0.000,90.000,0.000,492.000,51.000,49.500,128.325,38.000,704.260,0.398
0.5,0.000,0.000,2.405,nan,nan,28.500,39.980,0.000,90.000,0.000,496.000,51.000,49.500,128.438,38.000,696.680,0.104
0.5,0.000,0.000,2.440,nan,nan,28.900,40.500,0.000,90.000,0.000,526.000,51.000,49.500,128.775,38.000,698.540,0.000
0.5,0.000,0.000,2.445,nan,nan,28.950,40.600,0.000,90.000,0.000,538.000,51.000,49.500,129.225,38.000,697.960,0.000
0.5,0.000,0.000,3.080,nan,nan,36.700,51.820,0.000,90.000,0.000,504.000,51.000,49.594,130.012,38.000,663.800,0.311
