Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,6.140,1127.540,20.970,31.200,13.070,102.000,584.000,40.000,42.375,81.188,28.000,932.160,0.000
0.5,0.000,6.100,1128.080,20.970,31.000,13.000,102.000,584.000,40.000,42.375,81.188,27.500,932.060,0.000
0.5,0.000,6.100,1128.560,20.970,31.000,13.010,102.000,584.000,40.000,42.375,81.188,27.000,931.960,0.000
0.5,0.000,6.140,1129.060,20.970,31.100,13.020,102.000,584.000,40.000,42.375,81.188,27.000,932.120,0.000
0.5,0.000,6.150,1129.900,20.970,31.150,13.100,102.000,582.000,40.000,42.375,81.525,27.000,931.744,0.000
0.5,0.000,6.135,1130.290,20.970,31.050,13.050,102.000,584.000,40.000,42.375,81.750,27.000,933.890,0.000
0.5,0.000,6.215,1130.910,20.970,31.250,13.150,102.000,582.000,40.000,42.375,81.638,27.000,935.290,0.000
0.5,0.000,6.150,1131.250,20.970,30.150,13.000,102.000,586.000,40.000,42.375,81.750,27.000,939.830,0.000
0.5,0.000,6.150,1131.700,20.970,30.100,13.000,102.000,584.000,40.000,42.500,82.537,27.000,940.260,0.000
0.5,0.000,6.165,1132.040,20.970,30.000,13.000,102.000,584.000,40.000,42.500,82.875,27.000,940.850,0.000
0.5,0.000,6.235,1132.260,20.970,30.400,13.160,102.000,586.000,40.000,42.500,82.875,26.900,946.070,0.000
0.5,0.000,6.230,1132.850,20.970,30.150,13.040,102.000,588.000,40.000,42.500,82.987,26.000,947.730,0.000
0.5,0.000,6.290,1133.330,20.970,30.350,13.150,102.000,588.000,40.000,42.500,83.325,26.000,948.440,0.000
0.5,0.000,6.205,1133.740,20.970,30.150,13.020,102.800,588.000,40.000,42.500,83.438,26.000,950.720,0.000
0.5,0.000,6.210,1134.050,20.970,30.000,13.000,102.800,584.000,40.000,42.500,83.438,26.000,950.180,0.000
0.5,0.000,6.250,1134.680,20.970,30.350,13.100,103.000,586.000,40.000,42.594,83.438,26.000,951.910,0.000
0.5,0.000,6.215,1135.000,20.970,30.100,13.080,104.000,584.000,40.000,42.594,83.438,26.000,950.201,0.000
0.5,0.000,6.340,1135.510,20.970,30.583,13.150,104.000,584.000,40.000,42.688,83.438,26.000,951.270,0.000
0.5,0.000,6.255,1135.950,20.970,30.150,13.020,103.800,584.000,40.000,42.688,83.547,26.000,950.920,0.000
0.5,0.000,6.310,1136.620,20.970,30.400,13.120,104.000,584.000,40.000,42.688,83.656,26.000,954.080,0.000
0.5,0.000,6.205,1137.050,20.970,30.300,13.100,104.000,582.000,40.000,42.688,83.766,26.000,949.630,0.000
0.5,0.000,6.215,1137.570,20.970,30.000,13.000,104.000,584.000,40.000,42.781,84.641,26.000,949.950,0.000
0.5,0.000,6.280,1138.120,20.970,30.350,13.160,103.800,582.000,40.000,42.781,84.203,25.300,949.520,0.000
