Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,2.145,nan,nan,29.500,15.840,0.000,0.000,480.000,40.000,25.000,29.000,730.255,1.743
0.5,0.000,2.345,nan,nan,29.650,15.680,0.000,0.000,480.000,40.000,25.000,29.000,739.185,1.989
0.5,0.000,2.330,nan,nan,30.850,16.360,0.000,0.000,480.000,40.000,25.000,29.000,739.493,2.314
0.5,0.010,1.930,nan,nan,22.700,12.060,0.000,0.000,480.000,40.000,25.000,29.000,771.882,2.253
0.5,0.000,1.835,nan,nan,23.150,12.180,0.000,0.000,480.000,40.000,25.000,29.000,761.577,1.729
0.5,0.000,2.195,nan,nan,31.950,17.160,0.000,0.000,480.000,40.000,25.000,29.000,717.625,1.733
0.5,0.000,2.470,nan,nan,30.500,16.040,0.000,0.000,480.000,40.000,25.000,29.000,744.220,2.182
0.5,0.000,1.860,nan,nan,23.350,12.360,0.000,0.000,480.000,40.000,25.000,29.000,766.740,1.838
0.5,0.000,1.985,nan,nan,23.900,12.660,0.000,0.000,480.000,40.000,25.000,29.000,757.933,1.439
0.5,0.000,1.855,nan,nan,23.200,12.200,0.000,0.000,480.000,40.000,25.000,29.000,758.955,1.253
0.5,0.000,1.820,nan,nan,22.900,12.040,0.000,0.000,480.000,40.000,25.000,29.000,755.763,1.074
0.5,0.000,1.815,nan,nan,22.950,12.020,0.000,0.000,480.000,40.000,25.000,29.000,752.977,0.883
0.5,0.000,1.830,nan,nan,23.100,12.200,0.000,0.000,480.000,41.000,25.000,29.000,750.918,0.724
0.5,0.000,1.835,nan,nan,23.200,12.240,0.000,0.000,480.000,41.000,25.000,29.000,749.175,0.798
0.5,0.000,1.850,nan,nan,23.450,12.320,0.000,0.000,480.000,41.000,25.000,29.000,747.817,0.297
0.5,0.000,1.850,nan,nan,23.250,12.180,0.000,0.000,480.000,41.000,25.000,29.000,749.140,0.089
0.5,0.000,1.850,nan,nan,23.300,12.320,0.000,0.000,480.000,41.000,25.000,29.000,748.382,0.364
0.5,0.000,1.885,nan,nan,23.750,12.460,0.000,0.000,480.000,41.000,25.000,29.000,747.490,0.698
0.5,0.000,1.875,nan,nan,23.750,12.540,0.000,0.000,480.000,41.000,25.000,29.000,746.935,0.453
0.5,0.000,1.880,nan,nan,23.750,12.620,0.000,0.000,480.000,41.000,25.000,29.000,747.837,0.698
0.5,0.000,1.875,nan,nan,24.900,13.280,0.000,0.000,480.000,41.000,25.000,29.000,740.930,0.368
0.5,0.000,2.205,nan,nan,27.800,14.720,0.000,0.000,480.000,41.000,25.000,29.000,734.072,1.039
0.5,0.000,2.240,nan,nan,29.850,15.840,0.000,0.000,480.000,41.000,25.000,29.000,732.717,0.737
0.5,0.000,2.075,nan,nan,25.750,13.640,0.000,0.000,480.000,41.000,25.000,29.000,752.257,1.049
0.5,0.000,2.145,nan,nan,26.600,14.080,0.000,0.000,480.000,41.000,25.000,29.000,747.973,0.444
0.5,0.000,1.990,nan,nan,25.000,13.120,0.000,0.000,480.000,41.000,25.000,29.000,755.270,0.199
0.5,0.000,1.905,nan,nan,23.800,12.580,0.000,0.000,480.000,41.000,25.000,29.000,757.493,0.000
0.5,0.000,1.935,nan,nan,23.550,12.300,0.000,0.000,480.000,41.000,25.000,29.000,755.395,0.000
0.5,0.000,1.855,nan,nan,23.500,12.320,0.000,0.000,480.000,41.000,25.000,29.000,752.515,0.000
0.5,0.000,1.865,nan,nan,23.500,12.380,0.000,0.000,480.000,41.000,25.000,29.000,751.018,0.000
0.5,0.000,1.830,nan,nan,23.150,12.120,0.000,0.000,480.000,41.000,25.000,29.000,751.795,0.000
0.5,0.000,1.835,nan,nan,23.050,12.180,0.000,0.000,480.000,41.000,25.000,29.000,750.312,0.000
0.5,0.000,1.840,nan,nan,23.200,12.160,0.000,0.000,480.000,41.000,25.000,29.000,749.415,0.000
0.5,0.000,1.835,nan,nan,23.100,12.140,0.000,0.000,480.000,41.000,25.000,29.000,749.280,0.000
0.5,0.000,1.825,nan,nan,23.150,12.160,0.000,0.000,480.000,41.000,25.000,29.000,748.923,0.000
0.5,0.000,1.765,nan,nan,23.150,12.180,0.000,0.000,480.000,41.000,25.000,29.000,749.102,0.000
0.5,0.000,1.860,nan,nan,22.350,11.720,0.000,0.000,480.000,41.000,25.000,29.000,753.200,0.000
0.5,0.000,1.630,nan,nan,20.750,10.940,0.500,0.000,480.000,41.000,25.000,29.000,756.840,0.000
0.5,0.000,1.870,nan,nan,25.050,13.500,14.640,0.000,480.000,41.000,25.000,29.000,775.050,0.000
0.5,0.000,3.265,nan,nan,33.700,20.120,22.640,0.000,480.000,42.000,25.000,29.500,936.750,0.000
0.5,0.000,2.790,nan,nan,28.300,17.060,17.320,0.000,480.000,42.000,25.000,30.000,933.165,0.135
0.5,0.000,2.675,nan,nan,26.700,15.020,11.180,0.000,480.000,42.000,25.000,30.000,892.758,0.579
0.5,0.000,1.965,nan,nan,21.650,11.720,0.020,0.000,480.000,42.000,25.000,30.000,820.727,0.618
0.5,0.000,1.965,nan,nan,23.700,12.420,0.000,0.000,480.000,42.000,25.000,30.000,780.982,0.568
0.5,0.000,1.855,nan,nan,23.950,12.720,0.000,0.000,480.000,42.000,25.000,30.000,765.382,0.439
0.5,0.000,2.095,nan,nan,25.200,13.320,0.000,0.000,480.000,42.000,25.000,30.000,756.192,0.398
0.5,0.000,2.105,nan,nan,28.150,15.040,0.000,0.000,480.000,42.000,25.000,30.000,740.857,0.398
0.5,0.000,2.095,nan,nan,25.500,13.340,0.000,0.000,480.000,42.000,25.000,30.000,758.433,0.490
0.5,0.000,1.850,nan,nan,22.600,11.980,0.000,0.000,480.000,42.000,25.000,30.000,763.055,0.500
0.5,0.000,1.880,nan,nan,23.700,12.460,0.000,0.000,480.000,42.000,25.000,30.000,753.438,0.444
0.5,0.000,2.035,nan,nan,26.100,13.880,0.000,0.000,480.000,42.000,25.000,30.000,740.298,0.470
0.5,0.000,2.000,nan,nan,24.350,12.780,0.000,0.000,480.000,42.000,25.000,30.000,754.180,0.554
0.5,0.000,1.815,nan,nan,22.800,12.040,0.000,0.000,480.000,42.000,25.000,30.000,756.143,0.669
0.5,0.000,1.955,nan,nan,24.850,13.280,0.000,0.000,480.000,42.000,25.000,30.000,743.277,0.257
0.5,0.000,2.210,nan,nan,29.650,15.780,0.000,0.000,480.000,42.000,25.000,30.000,727.743,0.098
0.5,0.000,2.240,nan,nan,29.550,15.600,0.000,0.000,480.000,42.000,25.000,30.000,737.237,0.189
0.5,0.000,2.200,nan,nan,27.750,14.780,0.000,0.000,480.000,42.000,25.000,30.000,746.075,0.338
0.5,0.000,2.305,nan,nan,28.900,15.160,0.000,0.000,480.000,42.000,25.000,30.000,746.798,0.485
0.5,0.000,1.910,nan,nan,23.150,12.140,0.000,0.000,480.000,42.000,25.000,30.000,766.830,0.699
0.5,0.000,1.900,nan,nan,24.450,12.920,0.000,0.000,480.000,42.000,25.000,30.000,753.145,0.838
0.5,0.000,1.985,nan,nan,24.600,12.980,0.000,0.000,480.000,42.000,25.000,30.000,753.470,0.819
0.5,0.000,2.030,nan,nan,25.600,13.500,0.000,0.000,480.000,42.000,25.000,30.000,747.002,0.543
0.5,0.000,2.135,nan,nan,29.350,15.720,0.000,0.000,480.000,42.000,25.000,30.000,729.215,0.603
0.5,0.000,2.370,nan,nan,31.350,16.500,0.000,0.000,480.000,42.000,25.000,30.000,734.595,0.783
0.5,0.000,2.385,nan,nan,30.750,16.320,0.000,0.000,480.000,42.000,25.000,30.000,739.450,0.389
0.5,0.000,2.185,nan,nan,26.900,14.180,0.000,0.000,480.000,42.000,25.000,30.000,757.810,0.604
0.5,0.000,2.060,nan,nan,24.850,13.080,0.000,0.000,480.000,43.000,25.000,30.000,762.337,0.682
0.5,0.000,1.930,nan,nan,24.350,12.980,0.000,0.000,480.000,43.000,25.000,30.000,757.715,1.918
0.5,0.000,2.085,nan,nan,26.150,13.900,0.000,0.000,480.000,43.000,25.000,30.000,747.845,0.868
0.5,0.000,2.180,nan,nan,27.600,14.680,0.000,0.000,480.000,43.000,25.000,30.500,741.288,0.398
0.5,0.000,2.470,nan,nan,34.900,18.320,1.520,0.000,480.000,43.000,25.000,31.000,718.240,0.110
0.5,0.000,2.295,nan,nan,28.350,14.780,0.000,0.000,480.000,43.000,25.000,31.000,756.810,0.719
0.5,0.000,1.940,nan,nan,24.600,13.120,0.000,0.000,480.000,43.000,25.000,31.000,763.545,1.204
0.5,0.000,2.095,nan,nan,26.250,13.900,0.040,0.000,480.000,43.000,25.000,31.000,752.645,1.033
0.5,0.000,2.220,nan,nan,28.650,15.220,14.600,0.000,480.000,43.000,25.000,31.000,748.180,0.802
0.5,0.000,2.555,nan,nan,31.650,16.600,18.100,0.000,480.000,43.000,25.000,31.000,777.440,0.944
0.5,0.000,2.375,nan,nan,29.500,15.880,16.340,0.000,480.000,43.000,25.000,31.000,786.125,1.484
0.5,0.000,2.735,nan,nan,27.100,15.240,10.000,0.000,480.000,43.000,25.000,31.000,917.858,1.389
0.5,0.000,1.560,nan,nan,17.600,9.680,0.000,0.000,480.000,43.000,25.000,31.000,833.285,1.124
0.5,0.000,1.600,nan,nan,19.650,10.480,0.000,0.000,480.000,43.000,25.000,31.000,784.013,0.829
0.5,0.000,1.840,nan,nan,25.650,13.800,0.000,0.000,480.000,43.000,25.000,31.000,742.452,0.539
0.5,0.000,3.565,nan,nan,49.550,27.000,20.600,0.000,480.000,43.000,25.000,31.000,752.673,0.608
0.5,0.000,4.530,nan,nan,52.000,29.560,28.940,0.000,480.000,43.000,25.000,31.000,866.898,3.518
0.5,0.000,5.270,nan,nan,47.000,30.360,31.420,2.000,480.000,43.000,25.000,31.000,1043.102,6.488
0.5,0.000,6.270,nan,nan,37.100,26.040,33.200,3.000,480.000,43.000,25.000,31.000,1315.360,8.249
0.5,0.000,6.840,nan,nan,29.900,20.520,32.120,6.000,480.000,43.000,25.000,31.000,1468.783,9.259
0.5,0.010,5.610,nan,nan,26.050,18.020,30.800,6.000,480.000,43.000,25.000,31.000,1515.610,9.613
0.5,0.000,5.995,nan,nan,28.200,19.540,32.140,7.000,480.000,43.000,25.000,31.000,1538.983,9.758
0.5,0.005,6.280,nan,nan,24.900,16.540,26.580,8.000,480.000,43.000,25.000,31.000,1569.558,10.089
0.5,0.000,0.125,nan,nan,4.150,2.900,6.640,6.000,480.000,43.000,25.000,31.000,1077.362,9.889
0.5,0.000,3.085,nan,nan,43.100,23.780,23.440,3.000,480.000,43.000,25.000,31.000,811.027,9.858
0.5,0.010,4.170,nan,nan,49.950,26.760,23.960,2.000,480.000,43.000,25.000,31.000,826.333,10.938
0.5,0.000,2.205,nan,nan,20.450,11.600,0.000,1.000,480.000,43.000,25.000,31.000,885.973,10.783
0.5,0.000,1.665,nan,nan,19.050,10.560,2.380,0.000,480.000,43.000,25.000,31.000,836.390,9.784
0.5,0.005,2.485,nan,nan,35.150,19.020,17.460,0.000,480.000,43.000,25.000,31.000,761.750,9.088
0.5,0.000,2.900,nan,nan,37.050,19.300,7.680,0.000,480.000,43.000,25.000,31.000,767.908,8.849
0.5,0.000,1.725,nan,nan,20.050,10.860,0.560,0.000,480.000,44.000,25.000,31.000,809.822,7.808
0.5,0.010,2.565,nan,nan,37.750,20.940,21.900,0.000,480.000,44.000,25.000,31.000,808.210,6.738
0.5,0.000,6.130,nan,nan,56.000,34.780,34.220,1.000,480.000,44.000,25.000,31.000,991.110,7.363
